"Pathway","Source","HCC_Effect_d","HCC_Direction","HF_Effect_d","HF_Direction","Mirror"
"CARBOXYTERMINAL POST TRANSLATIONAL MODIFICATIONS OF TUBULIN","Reactome",2.037,"Up",-1.184,"Down","Yes"
"MYC TARGETS V1","Hallmark",1.827,"Up",-0.806,"Down","Yes"
"CYTOSOLIC TRNA AMINOACYLATION","Reactome",1.476,"Up",-1.142,"Down","Yes"
"MYC TARGETS V2","Hallmark",1.101,"Up",-1.144,"Down","Yes"
"RESPIRATORY SYNCYTIAL VIRUS RSV GENOME REPLICATION TRANSCRIPTION AND TRANSLATION","Reactome",1.106,"Up",-1.109,"Down","Yes"
"REGULATION OF CDH1 POSTTRANSLATIONAL PROCESSING AND TRAFFICKING TO PLASMA MEMBRANE","Reactome",0.963,"Up",-1.224,"Down","Yes"
"TRANSLATION OF SARS COV 2 STRUCTURAL PROTEINS","Reactome",0.962,"Up",-1.135,"Down","Yes"
"TRNA AMINOACYLATION","Reactome",1.389,"Up",-0.621,"Down","Yes"
"RIBOSOME QUALITY CONTROL RQC COMPLEX EXTRACTS AND DEGRADES NASCENT PEPTIDE","Reactome",1.309,"Up",-0.609,"Down","Yes"
"REGULATION OF PD L1 CD274 POST TRANSLATIONAL MODIFICATION","Reactome",1.129,"Up",-0.719,"Down","Yes"
"RRNA PROCESSING","Reactome",1.013,"Up",-0.807,"Down","Yes"
"TRANSCRIPTIONAL AND POST TRANSLATIONAL REGULATION OF MITF M EXPRESSION AND ACTIVITY","Reactome",0.4,"Up",-1.392,"Down","Yes"
"DENGUE VIRUS GENOME TRANSLATION AND REPLICATION","Reactome",1.109,"Up",-0.678,"Down","Yes"
"MTORC1 SIGNALING","Hallmark",0.672,"Up",-0.986,"Down","Yes"
"RIBOSOME ASSOCIATED QUALITY CONTROL","Reactome",1.157,"Up",-0.476,"Down","Yes"
"SRP DEPENDENT COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE","Reactome",1.029,"Up",-0.472,"Down","Yes"
"EUKARYOTIC TRANSLATION ELONGATION","Reactome",1.07,"Up",-0.351,"Down","Yes"
"EUKARYOTIC TRANSLATION INITIATION","Reactome",0.899,"Up",-0.512,"Down","Yes"
"TRANSLATION","Reactome",0.841,"Up",-0.547,"Down","Yes"
"SARS COV 2 MODULATES HOST TRANSLATION MACHINERY","Reactome",1.01,"Up",-0.301,"Down","Yes"
"TRANSLATION OF SARS COV 1 STRUCTURAL PROTEINS","Reactome",0.26,"Up",-0.898,"Down","Yes"
"SARS COV 1 MODULATES HOST TRANSLATION MACHINERY","Reactome",0.749,"Up",-0.133,"Down","Yes"
"MITOCHONDRIAL TRANSLATION ELONGATION","Reactome",0.195,"Up",-0.145,"Down","Yes"
"MITOCHONDRIAL TRANSLATION","Reactome",0.153,"Up",-0.137,"Down","Yes"
"TRANSLATION OF REPLICASE AND ASSEMBLY OF THE REPLICATION TRANSCRIPTION COMPLEX","Reactome",-0.583,"Down",-0.082,"Down","No"
"REGULATION OF PTEN MRNA TRANSLATION","Reactome",-0.204,"Down",0.123,"Up","No"
"REGULATION OF CDH1 MRNA TRANSLATION BY MICRORNAS","Reactome",-0.543,"Down",-0.307,"Down","No"
"MITOCHONDRIAL TRNA AMINOACYLATION","Reactome",0.666,"Up",0.547,"Up","No"
"REGULATION OF PD L1 CD274 TRANSLATION","Reactome",-0.043,"Down",-0.142,"Down","No"
"RRNA PROCESSING IN THE MITOCHONDRION","Reactome",-0.186,"Down",-0.102,"Down","No"
"REGULATION OF CDH11 MRNA TRANSLATION BY MICRORNAS","Reactome",0.398,"Up",0.325,"Up","No"
"REGULATION OF NPAS4 MRNA TRANSLATION","Reactome",0.172,"Up",0.201,"Up","No"
"POST TRANSLATIONAL MODIFICATION SYNTHESIS OF GPI ANCHORED PROTEINS","Reactome",-0.4,"Down",-0.415,"Down","No"
