"GO_ID","Description","GeneRatio","BgRatio","Fold_Enrichment","pvalue","p_adjust","Count","Translation_Related"
"GO:0034242","negative regulation of syncytium formation by plasma membrane fusion","5/207","10/5170",12.49,"2.10e-05","4.33e-03",5,""
"GO:0043038","amino acid activation","5/207","10/5170",12.49,"2.10e-05","4.33e-03",5,""
"GO:0043039","tRNA aminoacylation","5/207","10/5170",12.49,"2.10e-05","4.33e-03",5,""
"GO:1901740","negative regulation of myoblast fusion","5/207","10/5170",12.49,"2.10e-05","4.33e-03",5,""
"GO:0042274","ribosomal small subunit biogenesis","14/207","30/5170",11.66,"1.45e-12","1.29e-09",14,"Yes"
"GO:0042273","ribosomal large subunit biogenesis","9/207","20/5170",11.24,"2.55e-08","1.01e-05",9,"Yes"
"GO:1901739","regulation of myoblast fusion","6/207","14/5170",10.7,"8.80e-06","2.40e-03",6,""
"GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","4/207","10/5170",9.99,"4.34e-04","5.13e-02",4,"Yes"
"GO:0042255","ribosome assembly","7/207","18/5170",9.71,"3.26e-06","1.05e-03",7,"Yes"
"GO:0042254","ribosome biogenesis","28/207","73/5170",9.58,"3.08e-21","1.09e-17",28,"Yes"
"GO:0060142","regulation of syncytium formation by plasma membrane fusion","6/207","16/5170",9.37,"2.19e-05","4.33e-03",6,""
"GO:0030490","maturation of SSU-rRNA","7/207","19/5170",9.2,"4.98e-06","1.48e-03",7,"Yes"
"GO:0006221","pyrimidine nucleotide biosynthetic process","4/207","11/5170",9.08,"6.60e-04","7.11e-02",4,""
"GO:0009218","pyrimidine ribonucleotide metabolic process","4/207","11/5170",9.08,"6.60e-04","7.11e-02",4,""
"GO:0002181","cytoplasmic translation","13/207","36/5170",9.02,"4.79e-10","2.84e-07",13,"Yes"
"GO:0006364","rRNA processing","17/207","48/5170",8.85,"1.29e-12","1.29e-09",17,"Yes"
"GO:0000956","nuclear-transcribed mRNA catabolic process","5/207","15/5170",8.33,"2.12e-04","3.23e-02",5,""
"GO:0045047","protein targeting to ER","4/207","12/5170",8.33,"9.59e-04","9.21e-02",4,""
"GO:0072599","establishment of protein localization to endoplasmic reticulum","4/207","12/5170",8.33,"9.59e-04","9.21e-02",4,""
"GO:1900037","regulation of cellular response to hypoxia","4/207","12/5170",8.33,"9.59e-04","9.21e-02",4,""
"GO:0006414","translational elongation","4/207","13/5170",7.68,"1.34e-03","1.19e-01",4,"Yes"
"GO:0009226","nucleotide-sugar biosynthetic process","4/207","13/5170",7.68,"1.34e-03","1.19e-01",4,""
"GO:0045197","establishment or maintenance of epithelial cell apical/basal polarity","4/207","13/5170",7.68,"1.34e-03","1.19e-01",4,""
"GO:0022613","ribonucleoprotein complex biogenesis","32/207","105/5170",7.61,"1.31e-20","2.32e-17",32,"Yes"
"GO:0016072","rRNA metabolic process","18/207","60/5170",7.49,"7.03e-12","5.00e-09",18,"Yes"
"GO:0006405","RNA export from nucleus","3/207","10/5170",7.49,"6.16e-03","3.27e-01",3,""
"GO:0046039","GTP metabolic process","3/207","10/5170",7.49,"6.16e-03","3.27e-01",3,""
"GO:1902236","negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway","3/207","10/5170",7.49,"6.16e-03","3.27e-01",3,""
"GO:0001510","RNA methylation","4/207","14/5170",7.14,"1.82e-03","1.43e-01",4,""
"GO:0035088","establishment or maintenance of apical/basal cell polarity","4/207","14/5170",7.14,"1.82e-03","1.43e-01",4,""
"GO:0061245","establishment or maintenance of bipolar cell polarity","4/207","14/5170",7.14,"1.82e-03","1.43e-01",4,""
"GO:0000244","spliceosomal tri-snRNP complex assembly","3/207","11/5170",6.81,"8.22e-03","3.74e-01",3,""
"GO:0000966","RNA 5'-end processing","3/207","11/5170",6.81,"8.22e-03","3.74e-01",3,""
"GO:0006356","regulation of transcription by RNA polymerase I","3/207","11/5170",6.81,"8.22e-03","3.74e-01",3,""
"GO:0045022","early endosome to late endosome transport","3/207","11/5170",6.81,"8.22e-03","3.74e-01",3,""
"GO:0072528","pyrimidine-containing compound biosynthetic process","4/207","15/5170",6.66,"2.41e-03","1.71e-01",4,""
"GO:0007520","myoblast fusion","6/207","23/5170",6.52,"2.18e-04","3.23e-02",6,""
"GO:0009225","nucleotide-sugar metabolic process","4/207","16/5170",6.24,"3.11e-03","2.12e-01",4,""
"GO:0000768","syncytium formation by plasma membrane fusion","6/207","25/5170",5.99,"3.58e-04","4.48e-02",6,""
"GO:0006949","syncytium formation","6/207","25/5170",5.99,"3.58e-04","4.48e-02",6,""
"GO:0140253","cell-cell fusion","6/207","25/5170",5.99,"3.58e-04","4.48e-02",6,""
"GO:0006220","pyrimidine nucleotide metabolic process","4/207","17/5170",5.88,"3.94e-03","2.46e-01",4,""
"GO:0000387","spliceosomal snRNP assembly","3/207","13/5170",5.76,"1.34e-02","5.03e-01",3,""
"GO:0009156","ribonucleoside monophosphate biosynthetic process","3/207","13/5170",5.76,"1.34e-02","5.03e-01",3,""
"GO:0098927","vesicle-mediated transport between endosomal compartments","3/207","13/5170",5.76,"1.34e-02","5.03e-01",3,""
"GO:0043297","apical junction assembly","4/207","18/5170",5.55,"4.91e-03","2.86e-01",4,""
"GO:0051168","nuclear export","5/207","24/5170",5.2,"2.23e-03","1.65e-01",5,""
"GO:0022618","protein-RNA complex assembly","9/207","44/5170",5.11,"4.65e-05","8.69e-03",9,""
"GO:0006399","tRNA metabolic process","8/207","40/5170",5,"1.47e-04","2.48e-02",8,""
"GO:0006360","transcription by RNA polymerase I","3/207","15/5170",5,"2.02e-02","6.69e-01",3,""
"GO:0009124","nucleoside monophosphate biosynthetic process","3/207","15/5170",5,"2.02e-02","6.69e-01",3,""
"GO:0009126","purine nucleoside monophosphate metabolic process","3/207","15/5170",5,"2.02e-02","6.69e-01",3,""
"GO:0009167","purine ribonucleoside monophosphate metabolic process","3/207","15/5170",5,"2.02e-02","6.69e-01",3,""
"GO:0045454","cell redox homeostasis","3/207","15/5170",5,"2.02e-02","6.69e-01",3,""
"GO:0051101","regulation of DNA binding","3/207","15/5170",5,"2.02e-02","6.69e-01",3,""
"GO:0001824","blastocyst development","2/207","10/5170",5,"5.81e-02","1.00e+00",2,""
"GO:0006278","RNA-templated DNA biosynthetic process","2/207","10/5170",5,"5.81e-02","1.00e+00",2,""
"GO:0006383","transcription by RNA polymerase III","2/207","10/5170",5,"5.81e-02","1.00e+00",2,""
"GO:0010955","negative regulation of protein processing","2/207","10/5170",5,"5.81e-02","1.00e+00",2,""
"GO:0014044","Schwann cell development","2/207","10/5170",5,"5.81e-02","1.00e+00",2,""
"GO:0016925","protein sumoylation","2/207","10/5170",5,"5.81e-02","1.00e+00",2,""
"GO:0030261","chromosome condensation","2/207","10/5170",5,"5.81e-02","1.00e+00",2,""
"GO:0032206","positive regulation of telomere maintenance","2/207","10/5170",5,"5.81e-02","1.00e+00",2,""
"GO:0034138","toll-like receptor 3 signaling pathway","2/207","10/5170",5,"5.81e-02","1.00e+00",2,""
"GO:0035338","long-chain fatty-acyl-CoA biosynthetic process","2/207","10/5170",5,"5.81e-02","1.00e+00",2,""
"GO:0061081","positive regulation of myeloid leukocyte cytokine production involved in immune response","2/207","10/5170",5,"5.81e-02","1.00e+00",2,""
"GO:0071731","response to nitric oxide","2/207","10/5170",5,"5.81e-02","1.00e+00",2,""
"GO:0090169","regulation of spindle assembly","2/207","10/5170",5,"5.81e-02","1.00e+00",2,""
"GO:1902253","regulation of intrinsic apoptotic signaling pathway by p53 class mediator","2/207","10/5170",5,"5.81e-02","1.00e+00",2,""
"GO:1902473","regulation of protein localization to synapse","2/207","10/5170",5,"5.81e-02","1.00e+00",2,""
"GO:1903318","negative regulation of protein maturation","2/207","10/5170",5,"5.81e-02","1.00e+00",2,""
"GO:2000644","regulation of receptor catabolic process","2/207","10/5170",5,"5.81e-02","1.00e+00",2,""
"GO:0071826","protein-RNA complex organization","9/207","46/5170",4.89,"6.74e-05","1.20e-02",9,""
"GO:1901796","regulation of signal transduction by p53 class mediator","7/207","36/5170",4.86,"4.62e-04","5.29e-02",7,""
"GO:0050657","nucleic acid transport","4/207","21/5170",4.76,"8.74e-03","3.79e-01",4,""
"GO:0050658","RNA transport","4/207","21/5170",4.76,"8.74e-03","3.79e-01",4,""
"GO:0051236","establishment of RNA localization","4/207","21/5170",4.76,"8.74e-03","3.79e-01",4,""
"GO:0000245","spliceosomal complex assembly","3/207","16/5170",4.68,"2.41e-02","7.38e-01",3,""
"GO:0006984","ER-nucleus signaling pathway","3/207","16/5170",4.68,"2.41e-02","7.38e-01",3,""
"GO:0006998","nuclear envelope organization","3/207","16/5170",4.68,"2.41e-02","7.38e-01",3,""
"GO:0051028","mRNA transport","3/207","16/5170",4.68,"2.41e-02","7.38e-01",3,""
"GO:0070830","bicellular tight junction assembly","3/207","16/5170",4.68,"2.41e-02","7.38e-01",3,""
