"Category","Pathway","Cohens_d_HCC","Cohens_d_HF","Short_Label"
"Translation/Ribosome","REACTOME_CARBOXYTERMINAL_POST_TRANSLATIONAL_MODIFICATIONS_OF_TUBULIN",2.037,-1.184,"CARBOXYTERMINAL_POST_TRANSLATIONAL_MODIFICATIONS_OF_TUBULIN"
"Translation/Ribosome","HALLMARK_MYC_TARGETS_V1",1.827,-0.806,"MYC_TARGETS_V1"
"Translation/Ribosome","REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION",1.476,-1.142,"CYTOSOLIC_TRNA_AMINOACYLATION"
"Translation/Ribosome","REACTOME_TRNA_AMINOACYLATION",1.389,-0.621,"TRNA_AMINOACYLATION"
"Translation/Ribosome","REACTOME_RIBOSOME_QUALITY_CONTROL_RQC_COMPLEX_EXTRACTS_AND_DEGRADES_NASCENT_PEPTIDE",1.309,-0.609,"RIBOSOME_QUALITY_CONTROL_RQC_COMPLEX_EXTRACTS_AND_DEGRADES_NASCENT_PEPTIDE"
"Translation/Ribosome","REACTOME_RIBOSOME_ASSOCIATED_QUALITY_CONTROL",1.157,-0.476,"RIBOSOME_ASSOCIATED_QUALITY_CONTROL"
"Translation/Ribosome","REACTOME_REGULATION_OF_PD_L1_CD274_POST_TRANSLATIONAL_MODIFICATION",1.129,-0.719,"REGULATION_OF_PD_L1_CD274_POST_TRANSLATIONAL_MODIFICATION"
"Translation/Ribosome","REACTOME_DENGUE_VIRUS_GENOME_TRANSLATION_AND_REPLICATION",1.109,-0.678,"DENGUE_VIRUS_GENOME_TRANSLATION_AND_REPLICATION"
"Translation/Ribosome","REACTOME_RESPIRATORY_SYNCYTIAL_VIRUS_RSV_GENOME_REPLICATION_TRANSCRIPTION_AND_TRANSLATION",1.106,-1.109,"RESPIRATORY_SYNCYTIAL_VIRUS_RSV_GENOME_REPLICATION_TRANSCRIPTION_AND_TRANSLATION"
"Translation/Ribosome","HALLMARK_MYC_TARGETS_V2",1.101,-1.144,"MYC_TARGETS_V2"
"Translation/Ribosome","REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION",1.07,-0.351,"EUKARYOTIC_TRANSLATION_ELONGATION"
"Translation/Ribosome","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE",1.029,-0.472,"SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE"
"Translation/Ribosome","REACTOME_RRNA_PROCESSING",1.013,-0.807,"RRNA_PROCESSING"
"Translation/Ribosome","REACTOME_SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY",1.01,-0.301,"SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY"
"Translation/Ribosome","REACTOME_REGULATION_OF_CDH1_POSTTRANSLATIONAL_PROCESSING_AND_TRAFFICKING_TO_PLASMA_MEMBRANE",0.963,-1.224,"REGULATION_OF_CDH1_POSTTRANSLATIONAL_PROCESSING_AND_TRAFFICKING_TO_PLASMA_MEMBRANE"
"Translation/Ribosome","REACTOME_TRANSLATION_OF_SARS_COV_2_STRUCTURAL_PROTEINS",0.962,-1.135,"TRANSLATION_OF_SARS_COV_2_STRUCTURAL_PROTEINS"
"Translation/Ribosome","REACTOME_EUKARYOTIC_TRANSLATION_INITIATION",0.899,-0.512,"EUKARYOTIC_TRANSLATION_INITIATION"
"Translation/Ribosome","REACTOME_TRANSLATION",0.841,-0.547,"TRANSLATION"
"Translation/Ribosome","REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY",0.749,-0.133,"SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY"
"Translation/Ribosome","HALLMARK_MTORC1_SIGNALING",0.672,-0.986,"MTORC1_SIGNALING"
"Translation/Ribosome","REACTOME_MITOCHONDRIAL_TRNA_AMINOACYLATION",0.666,0.547,"MITOCHONDRIAL_TRNA_AMINOACYLATION"
"Translation/Ribosome","REACTOME_TRANSLATION_OF_REPLICASE_AND_ASSEMBLY_OF_THE_REPLICATION_TRANSCRIPTION_COMPLEX",-0.583,-0.082,"TRANSLATION_OF_REPLICASE_AND_ASSEMBLY_OF_THE_REPLICATION_TRANSCRIPTION_COMPLEX"
"Translation/Ribosome","REACTOME_REGULATION_OF_CDH1_MRNA_TRANSLATION_BY_MICRORNAS",-0.543,-0.307,"REGULATION_OF_CDH1_MRNA_TRANSLATION_BY_MICRORNAS"
"Translation/Ribosome","REACTOME_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS",-0.4,-0.415,"POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS"
"Translation/Ribosome","REACTOME_TRANSCRIPTIONAL_AND_POST_TRANSLATIONAL_REGULATION_OF_MITF_M_EXPRESSION_AND_ACTIVITY",0.4,-1.392,"TRANSCRIPTIONAL_AND_POST_TRANSLATIONAL_REGULATION_OF_MITF_M_EXPRESSION_AND_ACTIVITY"
